v3	I(R1)
Step Information: Ib=10µ  (Run: 1/6)
7.000000000000031e-002	2.916779e-005
8.000000000000031e-002	3.234695e-005
9.000000000000030e-002	3.493709e-005
1.000000000000003e-001	3.701826e-005
1.100000000000003e-001	3.867146e-005
1.200000000000003e-001	3.997247e-005
1.300000000000003e-001	4.098859e-005
1.400000000000003e-001	4.177737e-005
1.500000000000003e-001	4.238667e-005
1.600000000000003e-001	4.285547e-005
1.700000000000003e-001	4.321503e-005
1.800000000000003e-001	4.349009e-005
1.900000000000003e-001	4.370007e-005
2.000000000000003e-001	4.386011e-005
2.100000000000004e-001	4.398192e-005
2.200000000000004e-001	4.407452e-005
2.300000000000004e-001	4.414485e-005
2.400000000000004e-001	4.419823e-005
2.500000000000004e-001	4.423872e-005
2.600000000000004e-001	4.426941e-005
2.700000000000004e-001	4.429267e-005
2.800000000000004e-001	4.431029e-005
2.900000000000004e-001	4.432363e-005
3.000000000000004e-001	4.433373e-005
3.100000000000004e-001	4.434137e-005
3.200000000000005e-001	4.434716e-005
3.300000000000005e-001	4.435153e-005
3.400000000000005e-001	4.435485e-005
3.500000000000005e-001	4.435735e-005
3.600000000000005e-001	4.435924e-005
3.700000000000005e-001	4.436067e-005
3.800000000000005e-001	4.436175e-005
3.900000000000005e-001	4.436255e-005
4.000000000000005e-001	4.436315e-005
4.100000000000005e-001	4.436359e-005
4.200000000000005e-001	4.436392e-005
4.300000000000006e-001	4.436415e-005
4.400000000000006e-001	4.436431e-005
4.500000000000006e-001	4.436443e-005
4.600000000000006e-001	4.436451e-005
4.700000000000006e-001	4.436457e-005
4.800000000000006e-001	4.436461e-005
4.900000000000006e-001	4.436465e-005
5.000000000000000e-001	4.436467e-005
Step Information: Ib=110µ  (Run: 2/6)
-5.000000000000000e-001	-5.566643e-004
-4.900000000000000e-001	-5.566640e-004
-4.800000000000000e-001	-5.566633e-004
-4.700000000000000e-001	-5.566626e-004
-4.600000000000000e-001	-5.566615e-004
-4.500000000000000e-001	-5.566602e-004
-4.400000000000000e-001	-5.566584e-004
-4.299999999999999e-001	-5.566561e-004
-4.199999999999999e-001	-5.566531e-004
-4.099999999999999e-001	-5.566490e-004
-3.999999999999999e-001	-5.566436e-004
-3.899999999999999e-001	-5.566366e-004
-3.799999999999999e-001	-5.566273e-004
-3.699999999999999e-001	-5.566149e-004
-3.599999999999999e-001	-5.565987e-004
-3.499999999999999e-001	-5.565772e-004
-3.399999999999999e-001	-5.565489e-004
-3.299999999999999e-001	-5.565115e-004
-3.199999999999998e-001	-5.564620e-004
-3.099999999999998e-001	-5.563968e-004
-2.999999999999998e-001	-5.563108e-004
-2.899999999999998e-001	-5.561973e-004
-2.799999999999998e-001	-5.560477e-004
-2.699999999999998e-001	-5.558505e-004
-2.599999999999998e-001	-5.555908e-004
-2.499999999999998e-001	-5.552489e-004
-2.399999999999998e-001	-5.547993e-004
-2.299999999999998e-001	-5.542083e-004
-2.199999999999998e-001	-5.534326e-004
-2.099999999999997e-001	-5.524156e-004
-1.999999999999997e-001	-5.510845e-004
-1.899999999999997e-001	-5.493453e-004
-1.799999999999997e-001	-5.470781e-004
-1.699999999999997e-001	-5.441306e-004
-1.599999999999997e-001	-5.403106e-004
-1.499999999999997e-001	-5.353792e-004
-1.399999999999997e-001	-5.290421e-004
-1.299999999999997e-001	-5.209434e-004
-1.199999999999997e-001	-5.106612e-004
-1.099999999999997e-001	-4.977083e-004
-9.999999999999969e-002	-4.815407e-004
-8.999999999999969e-002	-4.615773e-004
-7.999999999999970e-002	-4.372343e-004
-6.999999999999970e-002	-4.079762e-004
-5.999999999999970e-002	-3.733826e-004
-4.999999999999970e-002	-3.332257e-004
-3.999999999999970e-002	-2.875487e-004
-2.999999999999969e-002	-2.367297e-004
-1.999999999999969e-002	-1.815140e-004
-9.999999999999691e-003	-1.230005e-004
3.087807787238717e-016	-6.257495e-005
1.000000000000031e-002	-1.795537e-006
2.000000000000031e-002	5.775147e-005
